1 1 0 101 || 000
1 1 0 101 || 000
1 1 0 101 || 000
1 1 0 101 || 000
1 1 0 101 || 000
1 1 0 101 || 000
0 1 0 101 || 000
0 1 0 101 || 000
0 1 0 101 || 001
0 1 0 101 || 001
0 1 0 101 || 011
0 1 0 101 || 011
0 1 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
0 0 0 101 || 011
0 0 0 101 || 001
0 0 0 101 || 001
0 0 0 101 || 000
0 0 0 101 || 000
0 0 0 101 || 100
0 0 1 101 || 100
0 0 1 101 || 101
0 0 1 101 || 101
0 0 1 101 || 101
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 111
0 0 0 101 || 111
0 0 0 101 || 110
0 0 0 101 || 110
0 0 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
0 0 0 101 || 011
0 0 0 101 || 001
0 0 0 101 || 001
0 0 0 101 || 000
0 0 0 101 || 000
0 0 0 101 || 100
0 0 0 101 || 100
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 111
0 0 0 101 || 111
0 0 0 101 || 110
0 0 0 101 || 110
0 0 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
0 0 0 101 || 011
0 0 0 101 || 001
0 0 0 101 || 001
0 0 0 101 || 000
0 0 0 101 || 000
0 0 0 101 || 100
0 0 0 101 || 100
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 111
0 0 0 101 || 111
0 0 0 101 || 110
0 0 0 101 || 110
0 0 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
0 0 0 101 || 011
0 0 0 101 || 001
0 0 0 101 || 001
0 0 0 101 || 000
0 0 0 101 || 000
0 0 0 101 || 100
0 0 0 101 || 100
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 111
0 0 0 101 || 111
0 0 0 101 || 110
0 0 0 101 || 110
0 0 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
0 0 0 101 || 011
0 0 0 101 || 001
0 0 0 101 || 001
0 0 0 101 || 000
0 0 0 101 || 000
0 0 0 101 || 100
0 0 0 101 || 100
0 0 0 101 || 101
0 0 0 101 || 101
0 0 0 101 || 111
0 0 0 101 || 111
0 0 0 101 || 110
0 0 0 101 || 110
0 0 0 101 || 010
0 0 0 101 || 010
0 0 0 101 || 011
